"Source.Label","Target.Label","Subject","SentDate","SentTime","Source","Target","MainSubject"
"Varja Lagos","Hennie Osvaldo","patrol schedule changes",2014-01-06,"10:28",45,48,"Work related"
"Varja Lagos","Loreto Bodrogi","patrol schedule changes",2014-01-06,"10:28",45,52,"Work related"
"Varja Lagos","Inga Ferro","patrol schedule changes",2014-01-06,"10:28",45,54,"Work related"
"Brand Tempestad","Birgitta Frente","wellhead flow rate data",2014-01-06,"10:35",13,17,"Work related"
"Brand Tempestad","Lars Azada","wellhead flow rate data",2014-01-06,"10:35",13,14,"Work related"
"Brand Tempestad","Felix Balas","wellhead flow rate data",2014-01-06,"10:35",13,15,"Work related"
"Isak Baza","Lucas Alcazar","re: gt-seismicprocessorpro bug report",2014-01-06,"10:43",41,40,"Work related"
"Lucas Alcazar","Isak Baza","re: gt-seismicprocessorpro bug report",2014-01-06,"10:50",40,41,"Work related"
"Linnea Bergen","Rachel Pantanal","re: upcoming birthdays",2014-01-06,"11:00",39,3,"Non-work related"
"Linnea Bergen","Lars Azada","re: upcoming birthdays",2014-01-06,"11:00",39,14,"Non-work related"
"Linnea Bergen","Felix Balas","re: upcoming birthdays",2014-01-06,"11:00",39,15,"Non-work related"
"Linnea Bergen","Isande Borrasca","re: upcoming birthdays",2014-01-06,"11:00",39,9,"Non-work related"
"Linnea Bergen","Axel Calzas","re: upcoming birthdays",2014-01-06,"11:00",39,10,"Non-work related"
"Linnea Bergen","Gustav Cazar","re: upcoming birthdays",2014-01-06,"11:00",39,19,"Non-work related"
"Linnea Bergen","Lidelse Dedos","re: upcoming birthdays",2014-01-06,"11:00",39,16,"Non-work related"
"Linnea Bergen","Birgitta Frente","re: upcoming birthdays",2014-01-06,"11:00",39,17,"Non-work related"
"Linnea Bergen","Vira Frente","re: upcoming birthdays",2014-01-06,"11:00",39,20,"Non-work related"
"Linnea Bergen","Adra Nubarron","re: upcoming birthdays",2014-01-06,"11:00",39,18,"Non-work related"
"Linnea Bergen","Marin Onda","re: upcoming birthdays",2014-01-06,"11:00",39,8,"Non-work related"
"Linnea Bergen","Kare Orilla","re: upcoming birthdays",2014-01-06,"11:00",39,11,"Non-work related"
"Linnea Bergen","Elsa Orilla","re: upcoming birthdays",2014-01-06,"11:00",39,12,"Non-work related"
"Linnea Bergen","Brand Tempestad","re: upcoming birthdays",2014-01-06,"11:00",39,13,"Non-work related"
"Linnea Bergen","Ingrid Barranco","re: upcoming birthdays",2014-01-06,"11:00",39,23,"Non-work related"
"Linnea Bergen","Ada Campo-Corrente","re: upcoming birthdays",2014-01-06,"11:00",39,24,"Non-work related"
"Linnea Bergen","Sten Sanjorge Jr ","re: upcoming birthdays",2014-01-06,"11:00",39,22,"Non-work related"
"Linnea Bergen","Orhan Strum","re: upcoming birthdays",2014-01-06,"11:00",39,25,"Non-work related"
"Linnea Bergen","Willem Vasco-Pais","re: upcoming birthdays",2014-01-06,"11:00",39,21,"Non-work related"
"Linnea Bergen","Bertrand Ovan","re: upcoming birthdays",2014-01-06,"11:00",39,26,"Non-work related"
"Linnea Bergen","Albina Hafon","re: upcoming birthdays",2014-01-06,"11:00",39,30,"Non-work related"
"Linnea Bergen","Benito Hawelon","re: upcoming birthdays",2014-01-06,"11:00",39,31,"Non-work related"
"Linnea Bergen","Claudio Hawelon","re: upcoming birthdays",2014-01-06,"11:00",39,32,"Non-work related"
"Linnea Bergen","Henk Mies","re: upcoming birthdays",2014-01-06,"11:00",39,33,"Non-work related"
"Linnea Bergen","Valeria Morlun","re: upcoming birthdays",2014-01-06,"11:00",39,34,"Non-work related"
"Linnea Bergen","Adan Morlun","re: upcoming birthdays",2014-01-06,"11:00",39,35,"Non-work related"
"Linnea Bergen","Cecilia Morluniau","re: upcoming birthdays",2014-01-06,"11:00",39,36,"Non-work related"
"Linnea Bergen","Irene Nant","re: upcoming birthdays",2014-01-06,"11:00",39,37,"Non-work related"
