"LastName","FirstName","Gender","CitizenshipCountry","CurrentEmploymentType","CurrentEmploymentTitle","CurrentEmploymentStartDate","EmailAddress","MilitaryServiceBranch","MilitaryDischargeType","MilitaryDischargeDate","id","FullName"
"Bramar","Mat","Male","Tethys","Administration","Assistant to CEO",2005-07-01,"Mat.Bramar@gastech.com.kronos",NA,NA,NA,1,"Mat Bramar"
"Ribera","Anda","Female","Tethys","Administration","Assistant to CFO",2009-10-30,"Anda.Ribera@gastech.com.kronos",NA,NA,NA,2,"Anda Ribera"
"Pantanal","Rachel","Female","Tethys","Administration","Assistant to CIO",2013-10-01,"Rachel.Pantanal@gastech.com.kronos",NA,NA,NA,3,"Rachel Pantanal"
"Lagos","Linda","Female","Tethys","Administration","Assistant to COO",2010-02-01,"Linda.Lagos@gastech.com.kronos",NA,NA,NA,4,"Linda Lagos"
"Mies Haber","Ruscella","Female","Kronos","Administration","Assistant to Engineering Group Manager",2003-04-02,"Ruscella.Mies.Haber@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",1984-10-01,5,"Ruscella Mies Haber"
"Forluniau","Carla","Female","Kronos","Administration","Assistant to IT Group Manager",2005-03-07,"Carla.Forluniau@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2001-10-01,6,"Carla Forluniau"
"Lais","Cornelia","Female","Kronos","Administration","Assistant to Security Group Manager",2011-12-22,"Cornelia.Lais@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2011-10-01,7,"Cornelia Lais"
"Onda","Marin","Male","Tethys","Engineering","Drill Site Manager",2003-04-13,"Marin.Onda@gastech.com.kronos",NA,NA,NA,8,"Marin Onda"
"Borrasca","Isande","Female","Tethys","Engineering","Drill Technician",2004-02-18,"Isande.Borrasca@gastech.com.kronos",NA,NA,NA,9,"Isande Borrasca"
"Calzas","Axel","Male","Tethys","Engineering","Drill Technician",1997-07-17,"Axel.Calzas@gastech.com.kronos",NA,NA,NA,10,"Axel Calzas"
"Orilla","Kare","Female","Tethys","Engineering","Drill Technician",2005-11-12,"Kare.Orilla@gastech.com.kronos",NA,NA,NA,11,"Kare Orilla"
"Orilla","Elsa","Female","Tethys","Engineering","Drill Technician",2004-05-26,"Elsa.Orilla@gastech.com.kronos",NA,NA,NA,12,"Elsa Orilla"
"Tempestad","Brand","Male","Tethys","Engineering","Drill Technician",2004-06-12,"Brand.Tempestad@gastech.com.kronos",NA,NA,NA,13,"Brand Tempestad"
"Azada","Lars","Male","Tethys","Engineering","Engineer",1995-12-01,"Lars.Azada@gastech.com.kronos","TethanDefenseForceAir","GeneralDischarge",1995-10-01,14,"Lars Azada"
"Balas","Felix","Male","Tethys","Engineering","Engineer",2004-09-02,"Felix.Balas@gastech.com.kronos","TethanDefenseForceNavy","HonorableDischarge",1988-10-01,15,"Felix Balas"
"Dedos","Lidelse","Female","Tethys","Engineering","Engineering Group Manager",2003-03-01,"Lidelse.Dedos@gastech.com.kronos",NA,NA,NA,16,"Lidelse Dedos"
"Frente","Birgitta","Female","Tethys","Engineering","Geologist",1999-05-03,"Birgitta.Frente@gastech.com.kronos",NA,NA,NA,17,"Birgitta Frente"
"Nubarron","Adra","Female","Tethys","Engineering","Geologist",1994-07-08,"Adra.Nubarron@gastech.com.kronos",NA,NA,NA,18,"Adra Nubarron"
"Cazar","Gustav","Male","Tethys","Engineering","Hydraulic Technician",2009-09-15,"Gustav.Cazar@gastech.com.kronos",NA,NA,NA,19,"Gustav Cazar"
"Frente","Vira","Female","Tethys","Engineering","Hydraulic Technician",2001-12-01,"Vira.Frente@gastech.com.kronos",NA,NA,NA,20,"Vira Frente"
"Vasco-Pais","Willem","Male","Tethys","Executive","Environmental Safety Advisor",2010-06-05,"Willem.Vasco-Pais@gastech.com.kronos",NA,NA,NA,21,"Willem Vasco-Pais"
"Sanjorge Jr.","Sten","Male","Tethys","Executive","President/CEO",1990-11-09,"Sten.Sanjorge Jr.@gastech.com.kronos",NA,NA,NA,22,"Sten Sanjorge Jr "
"Barranco","Ingrid","Female","Tethys","Executive","SVP/CFO",2003-09-30,"Ingrid.Barranco@gastech.com.kronos",NA,NA,NA,23,"Ingrid Barranco"
"Campo-Corrente","Ada","Female","Tethys","Executive","SVP/CIO",2004-10-05,"Ada.Campo-Corrente@gastech.com.kronos",NA,NA,NA,24,"Ada Campo-Corrente"
"Strum","Orhan","Male","Tethys","Executive","SVP/COO",2003-08-07,"Orhan.Strum@gastech.com.kronos",NA,NA,NA,25,"Orhan Strum"
"Ovan","Bertrand","Male","Tethys","Facilities","Facilities Group Manager",1998-10-01,"Bertrand.Ovan@gastech.com.kronos","TethanDefenseForceAir","HonorableDischarge",1993-10-01,26,"Bertrand Ovan"
"Arpa","Emile","Male","Kronos","Facilities","Janitor",2013-03-18,"Emile.Arpa@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2012-10-01,27,"Emile Arpa"
"Awelon","Varro","Male","Kronos","Facilities","Janitor",2012-10-22,"Varro.Awelon@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2006-10-01,28,"Varro Awelon"
"Coginian","Dante","Male","Kronos","Facilities","Lead Janitor",1995-01-07,"Dante.Coginian@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",1992-10-01,29,"Dante Coginian"
"Hafon","Albina","Female","Kronos","Facilities","Truck Driver",2009-09-12,"Albina.Hafon@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2007-10-01,30,"Albina Hafon"
"Hawelon","Benito","Male","Kronos","Facilities","Truck Driver",2000-02-21,"Benito.Hawelon@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",1999-10-01,31,"Benito Hawelon"
"Hawelon","Claudio","Male","Kronos","Facilities","Truck Driver",2007-03-13,"Claudio.Hawelon@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2003-10-01,32,"Claudio Hawelon"
"Mies","Henk","Male","Kronos","Facilities","Truck Driver",2013-07-12,"Henk.Mies@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2004-10-01,33,"Henk Mies"
"Morlun","Valeria","Female","Kronos","Facilities","Truck Driver",2003-12-02,"Valeria.Morlun@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2001-10-01,34,"Valeria Morlun"
"Morlun","Adan","Male","Kronos","Facilities","Truck Driver",2006-01-14,"Adan.Morlun@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2005-10-01,35,"Adan Morlun"
"Morluniau","Cecilia","Female","Kronos","Facilities","Truck Driver",2009-04-30,"Cecilia.Morluniau@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2008-10-01,36,"Cecilia Morluniau"
"Nant","Irene","Female","Kronos","Facilities","Truck Driver",2008-11-30,"Irene.Nant@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2005-10-01,37,"Irene Nant"
"Scozzese","Dylan","Male","Kronos","Facilities","Truck Driver",2007-03-01,"Dylan.Scozzese@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2006-10-01,38,"Dylan Scozzese"
"Bergen","Linnea","Female","Tethys","Information Technology","IT Group Manager",2004-07-04,"Linnea.Bergen@gastech.com.kronos",NA,NA,NA,39,"Linnea Bergen"
"Alcazar","Lucas","Male","Tethys","Information Technology","IT Helpdesk",2010-11-30,"Lucas.Alcazar@gastech.com.kronos",NA,NA,NA,40,"Lucas Alcazar"
"Baza","Isak","Male","Tethys","Information Technology","IT Technician",2002-03-20,"Isak.Baza@gastech.com.kronos",NA,NA,NA,41,"Isak Baza"
"Calixto","Nils","Male","Tethys","Information Technology","IT Technician",2004-10-19,"Nils.Calixto@gastech.com.kronos",NA,NA,NA,42,"Nils Calixto"
"Flecha","Sven","Male","Tethys","Information Technology","IT Technician",2010-10-15,"Sven.Flecha@gastech.com.kronos",NA,NA,NA,43,"Sven Flecha"
"Herrero","Kanon","Male","Tethys","Security","Badging Office",2008-11-20,"Kanon.Herrero@gastech.com.kronos",NA,NA,NA,44,"Kanon Herrero"
"Lagos","Varja","Female","Tethys","Security","Badging Office",2006-10-01,"Varja.Lagos@gastech.com.kronos",NA,NA,NA,45,"Varja Lagos"
"Fusil","Stenig","Male","Tethys","Security","Building Control",2004-02-05,"Stenig.Fusil@gastech.com.kronos","TethanDefenseForceArmy","HonorableDischarge",1987-10-01,46,"Stenig Fusil"
"Mies","Minke","Male","Kronos","Security","Perimeter Control",2013-05-22,"Minke.Mies@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2011-10-01,47,"Minke Mies"
"Osvaldo","Hennie","Male","Kronos","Security","Perimeter Control",2011-06-07,"Hennie.Osvaldo@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2010-10-01,48,"Hennie Osvaldo"
"Vann","Isia","Male","Kronos","Security","Perimeter Control",2007-12-14,"Isia.Vann@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2007-10-01,49,"Isia Vann"
"Vann","Edvard","Male","Kronos","Security","Perimeter Control",2013-08-15,"Edvard.Vann@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2011-10-01,50,"Edvard Vann"
"Resumir","Felix","Male","Tethys","Security","Security Group Manager",2003-09-15,"Felix.Resumir@gastech.com.kronos","TethanDefenseForceArmy","HonorableDischarge",1997-10-01,51,"Felix Resumir"
"Bodrogi","Loreto","Male","Kronos","Security","Site Control",2013-08-17,"Loreto.Bodrogi@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2008-10-01,52,"Loreto Bodrogi"
"Cocinaro","Hideki","Male","Tethys","Security","Site Control",2010-01-01,"Hideki.Cocinaro@gastech.com.kronos","TethanDefenseForceArmy","HonorableDischarge",2009-10-01,53,"Hideki Cocinaro"
"Ferro","Inga","Female","Kronos","Security","Site Control",2013-01-11,"Inga.Ferro@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2012-10-01,54,"Inga Ferro"
